EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	14:19:17	0	0.1000	0.2079746149729548		_	_	_	_	0.17332999408245087	0.3052	0.4199	0.2147	0.3535	_	0.2723	0.3716	0.1864	0.3143
1	14:21:33	0	0.1000	0.19000510607217194		_	_	_	_	0.16737446188926697	0.332	0.4568	0.238	0.3845	_	0.2943	0.4017	0.2046	0.3397
2	14:23:46	0	0.1000	0.18322727314213702		_	_	_	_	0.16382110118865967	0.3418	0.4704	0.2468	0.3959	_	0.31	0.423	0.2179	0.3578
3	14:26:01	0	0.1000	0.17720620706588222		_	_	_	_	0.1606624573469162	0.3415	0.4699	0.2465	0.3955	_	0.3158	0.4309	0.2228	0.3645
4	14:28:14	0	0.1000	0.17177104909031563		_	_	_	_	0.15831539034843445	0.3543	0.4875	0.2581	0.4104	_	0.3279	0.4474	0.2334	0.3784
5	14:30:27	0	0.1000	0.1663869480528321		_	_	_	_	0.15862810611724854	0.3622	0.4985	0.2655	0.4196	_	0.3298	0.4501	0.2351	0.3807
6	14:32:38	0	0.1000	0.16140295220761267		_	_	_	_	0.1574403941631317	0.3575	0.4919	0.2611	0.4141	_	0.3321	0.4531	0.2371	0.3833
7	14:34:50	0	0.1000	0.15625470320472526		_	_	_	_	0.15687061846256256	0.3559	0.4897	0.2596	0.4122	_	0.3279	0.4474	0.2334	0.3784
8	14:37:05	0	0.1000	0.1517857961208544		_	_	_	_	0.1560252606868744	0.3753	0.5165	0.2777	0.4347	_	0.3423	0.4671	0.2462	0.3951
9	14:39:18	0	0.1000	0.1470437137414654		_	_	_	_	0.1551656872034073	0.3817	0.5252	0.2838	0.4421	_	0.3522	0.4806	0.2551	0.4065
